ID,Latitude,Longitude,Region,Data_date,Alert_Level,Prediction
1000001,-10.375,141.525,gbr,2023-04-02,0,Nowcast
1000001,-10.375,141.525,gbr,2023-04-30,0,4 week forecast
1000001,-10.375,141.525,gbr,2023-05-28,0,8 week forecast
1000001,-10.375,141.525,gbr,2023-06-25,0,12 week forecast
1000002,-9.52499999999999,141.525,gbr,2023-04-02,0,Nowcast
1000002,-9.52499999999999,141.525,gbr,2023-04-30,0,4 week forecast
1000002,-9.52499999999999,141.525,gbr,2023-05-28,0,8 week forecast
1000002,-9.52499999999999,141.525,gbr,2023-06-25,0,12 week forecast
1000003,-10.375,141.575,gbr,2023-04-02,0,Nowcast
1000003,-10.375,141.575,gbr,2023-04-30,0,4 week forecast
1000003,-10.375,141.575,gbr,2023-05-28,0,8 week forecast
1000003,-10.375,141.575,gbr,2023-06-25,0,12 week forecast
1000004,-9.62499999999999,141.575,gbr,2023-04-02,0,Nowcast
1000004,-9.62499999999999,141.575,gbr,2023-04-30,0,4 week forecast
1000004,-9.62499999999999,141.575,gbr,2023-05-28,0,8 week forecast
1000004,-9.62499999999999,141.575,gbr,2023-06-25,0,12 week forecast
1000005,-9.52499999999999,141.575,gbr,2023-04-02,0,Nowcast
1000005,-9.52499999999999,141.575,gbr,2023-04-30,0,4 week forecast
1000005,-9.52499999999999,141.575,gbr,2023-05-28,0,8 week forecast
1000005,-9.52499999999999,141.575,gbr,2023-06-25,0,12 week forecast
1000006,-9.47499999999999,141.575,gbr,2023-04-02,0,Nowcast
1000006,-9.47499999999999,141.575,gbr,2023-04-30,0,4 week forecast
1000006,-9.47499999999999,141.575,gbr,2023-05-28,0,8 week forecast
1000006,-9.47499999999999,141.575,gbr,2023-06-25,0,12 week forecast
1000007,-9.62499999999999,141.625,gbr,2023-04-02,0,Nowcast
1000007,-9.62499999999999,141.625,gbr,2023-04-30,0,4 week forecast
1000007,-9.62499999999999,141.625,gbr,2023-05-28,0,8 week forecast
1000007,-9.62499999999999,141.625,gbr,2023-06-25,0,12 week forecast
1000008,-9.52499999999999,141.625,gbr,2023-04-02,0,Nowcast
1000008,-9.52499999999999,141.625,gbr,2023-04-30,0,4 week forecast
1000008,-9.52499999999999,141.625,gbr,2023-05-28,0,8 week forecast
1000008,-9.52499999999999,141.625,gbr,2023-06-25,0,12 week forecast
1000009,-9.47499999999999,141.625,gbr,2023-04-02,0,Nowcast
1000009,-9.47499999999999,141.625,gbr,2023-04-30,0,4 week forecast
1000009,-9.47499999999999,141.625,gbr,2023-05-28,0,8 week forecast
