ID,Latitude,Longitude,Region,Data_date,Alert_Level,Prediction
1020001,13.225,144.625,guam_cnmi,2022-07-10,0,Nowcast
1020001,13.225,144.625,guam_cnmi,2022-08-07,2,4 week forecast
1020001,13.225,144.625,guam_cnmi,2022-09-04,2,8 week forecast
1020001,13.225,144.625,guam_cnmi,2022-10-02,1,12 week forecast
1020002,13.275,144.625,guam_cnmi,2022-07-10,0,Nowcast
1020002,13.275,144.625,guam_cnmi,2022-08-07,2,4 week forecast
1020002,13.275,144.625,guam_cnmi,2022-09-04,2,8 week forecast
1020002,13.275,144.625,guam_cnmi,2022-10-02,1,12 week forecast
1020003,13.325,144.625,guam_cnmi,2022-07-10,0,Nowcast
1020003,13.325,144.625,guam_cnmi,2022-08-07,2,4 week forecast
1020003,13.325,144.625,guam_cnmi,2022-09-04,2,8 week forecast
1020003,13.325,144.625,guam_cnmi,2022-10-02,1,12 week forecast
1020004,13.375,144.625,guam_cnmi,2022-07-10,0,Nowcast
1020004,13.375,144.625,guam_cnmi,2022-08-07,2,4 week forecast
1020004,13.375,144.625,guam_cnmi,2022-09-04,2,8 week forecast
1020004,13.375,144.625,guam_cnmi,2022-10-02,1,12 week forecast
1020005,13.425,144.625,guam_cnmi,2022-07-10,0,Nowcast
1020005,13.425,144.625,guam_cnmi,2022-08-07,2,4 week forecast
1020005,13.425,144.625,guam_cnmi,2022-09-04,2,8 week forecast
1020005,13.425,144.625,guam_cnmi,2022-10-02,1,12 week forecast
1020006,13.475,144.625,guam_cnmi,2022-07-10,0,Nowcast
1020006,13.475,144.625,guam_cnmi,2022-08-07,2,4 week forecast
1020006,13.475,144.625,guam_cnmi,2022-09-04,2,8 week forecast
1020006,13.475,144.625,guam_cnmi,2022-10-02,1,12 week forecast
1020007,13.225,144.675,guam_cnmi,2022-07-10,0,Nowcast
1020007,13.225,144.675,guam_cnmi,2022-08-07,2,4 week forecast
1020007,13.225,144.675,guam_cnmi,2022-09-04,2,8 week forecast
1020007,13.225,144.675,guam_cnmi,2022-10-02,1,12 week forecast
1020008,13.475,144.675,guam_cnmi,2022-07-10,0,Nowcast
1020008,13.475,144.675,guam_cnmi,2022-08-07,2,4 week forecast
1020008,13.475,144.675,guam_cnmi,2022-09-04,2,8 week forecast
1020008,13.475,144.675,guam_cnmi,2022-10-02,1,12 week forecast
1020009,13.225,144.725,guam_cnmi,2022-07-10,0,Nowcast
1020009,13.225,144.725,guam_cnmi,2022-08-07,2,4 week forecast
1020009,13.225,144.725,guam_cnmi,2022-09-04,2,8 week forecast
1020009,13.225,144.725,guam_cnmi,2022-10-02,1,12 week forecast
1020010,13.475,144.725,guam_cnmi,2022-07-10,1,Nowcast
1020010,13.475,144.725,guam_cnmi,2022-08-07,1,4 week forecast
1020010,13.475,144.725,guam_cnmi,2022-09-04,1,8 week forecast
1020010,13.475,144.725,guam_cnmi,2022-10-02,1,12 week forecast
1020011,13.525,144.725,guam_cnmi,2022-07-10,0,Nowcast
1020011,13.525,144.725,guam_cnmi,2022-08-07,2,4 week forecast
1020011,13.525,144.725,guam_cnmi,2022-09-04,2,8 week forecast
1020011,13.525,144.725,guam_cnmi,2022-10-02,1,12 week forecast
1020012,13.225,144.775,guam_cnmi,2022-07-10,0,Nowcast
1020012,13.225,144.775,guam_cnmi,2022-08-07,2,4 week forecast
1020012,13.225,144.775,guam_cnmi,2022-09-04,2,8 week forecast
1020012,13.225,144.775,guam_cnmi,2022-10-02,1,12 week forecast
1020013,13.275,144.775,guam_cnmi,2022-07-10,0,Nowcast
1020013,13.275,144.775,guam_cnmi,2022-08-07,2,4 week forecast
1020013,13.275,144.775,guam_cnmi,2022-09-04,2,8 week forecast
1020013,13.275,144.775,guam_cnmi,2022-10-02,1,12 week forecast
1020014,13.325,144.775,guam_cnmi,2022-07-10,0,Nowcast
1020014,13.325,144.775,guam_cnmi,2022-08-07,2,4 week forecast
1020014,13.325,144.775,guam_cnmi,2022-09-04,2,8 week forecast
1020014,13.325,144.775,guam_cnmi,2022-10-02,1,12 week forecast
1020015,13.375,144.775,guam_cnmi,2022-07-10,0,Nowcast
1020015,13.375,144.775,guam_cnmi,2022-08-07,0,4 week forecast
1020015,13.375,144.775,guam_cnmi,2022-09-04,0,8 week forecast
1020015,13.375,144.775,guam_cnmi,2022-10-02,0,12 week forecast
1020016,13.475,144.775,guam_cnmi,2022-07-10,4,Nowcast
1020016,13.475,144.775,guam_cnmi,2022-08-07,1,4 week forecast
1020016,13.475,144.775,guam_cnmi,2022-09-04,1,8 week forecast
1020016,13.475,144.775,guam_cnmi,2022-10-02,1,12 week forecast
1020017,13.525,144.775,guam_cnmi,2022-07-10,0,Nowcast
1020017,13.525,144.775,guam_cnmi,2022-08-07,2,4 week forecast
1020017,13.525,144.775,guam_cnmi,2022-09-04,2,8 week forecast
1020017,13.525,144.775,guam_cnmi,2022-10-02,1,12 week forecast
1020018,13.575,144.775,guam_cnmi,2022-07-10,0,Nowcast
1020018,13.575,144.775,guam_cnmi,2022-08-07,2,4 week forecast
1020018,13.575,144.775,guam_cnmi,2022-09-04,2,8 week forecast
1020018,13.575,144.775,guam_cnmi,2022-10-02,1,12 week forecast
1020019,13.375,144.825,guam_cnmi,2022-07-10,0,Nowcast
1020019,13.375,144.825,guam_cnmi,2022-08-07,2,4 week forecast
1020019,13.375,144.825,guam_cnmi,2022-09-04,2,8 week forecast
1020019,13.375,144.825,guam_cnmi,2022-10-02,1,12 week forecast
1020020,13.425,144.825,guam_cnmi,2022-07-10,0,Nowcast
1020020,13.425,144.825,guam_cnmi,2022-08-07,2,4 week forecast
1020020,13.425,144.825,guam_cnmi,2022-09-04,2,8 week forecast
1020020,13.425,144.825,guam_cnmi,2022-10-02,1,12 week forecast
1020021,13.475,144.825,guam_cnmi,2022-07-10,0,Nowcast
1020021,13.475,144.825,guam_cnmi,2022-08-07,2,4 week forecast
1020021,13.475,144.825,guam_cnmi,2022-09-04,2,8 week forecast
1020021,13.475,144.825,guam_cnmi,2022-10-02,1,12 week forecast
1020022,13.525,144.825,guam_cnmi,2022-07-10,1,Nowcast
1020022,13.525,144.825,guam_cnmi,2022-08-07,1,4 week forecast
1020022,13.525,144.825,guam_cnmi,2022-09-04,1,8 week forecast
1020022,13.525,144.825,guam_cnmi,2022-10-02,1,12 week forecast
1020023,13.575,144.825,guam_cnmi,2022-07-10,0,Nowcast
1020023,13.575,144.825,guam_cnmi,2022-08-07,2,4 week forecast
