ID,Latitude,Longitude,Region,Data_date,Alert_Level,Prediction
1040001,19.275,166.575,wake,2022-07-03,0,Nowcast
1040001,19.275,166.575,wake,2022-07-31,0,4 week forecast
1040001,19.275,166.575,wake,2022-08-28,2,8 week forecast
1040001,19.275,166.575,wake,2022-09-25,2,12 week forecast
1040002,19.325,166.575,wake,2022-07-03,0,Nowcast
1040002,19.325,166.575,wake,2022-07-31,0,4 week forecast
1040002,19.325,166.575,wake,2022-08-28,2,8 week forecast
1040002,19.325,166.575,wake,2022-09-25,2,12 week forecast
1040003,19.275,166.625,wake,2022-07-03,0,Nowcast
1040003,19.275,166.625,wake,2022-07-31,0,4 week forecast
1040003,19.275,166.625,wake,2022-08-28,2,8 week forecast
1040003,19.275,166.625,wake,2022-09-25,2,12 week forecast
1040004,19.325,166.625,wake,2022-07-03,0,Nowcast
1040004,19.325,166.625,wake,2022-07-31,0,4 week forecast
1040004,19.325,166.625,wake,2022-08-28,0,8 week forecast
1040004,19.325,166.625,wake,2022-09-25,0,12 week forecast
1040005,19.275,166.675,wake,2022-07-03,0,Nowcast
1040005,19.275,166.675,wake,2022-07-31,0,4 week forecast
1040005,19.275,166.675,wake,2022-08-28,2,8 week forecast
1040005,19.275,166.675,wake,2022-09-25,2,12 week forecast
1040006,19.325,166.675,wake,2022-07-03,0,Nowcast
1040006,19.325,166.675,wake,2022-07-31,0,4 week forecast
1040006,19.325,166.675,wake,2022-08-28,2,8 week forecast
1040006,19.325,166.675,wake,2022-09-25,2,12 week forecast
